Time,Tweet_cleaned,URL,Location,location_searched
29-04-2020 18:38,When you appreciate the donation but the message makes you want to disappear,https://t.co/yjgAAB5YC0,Unknown,
29-04-2020 21:09,Donation links go live at midnight at Help us raise money for Feeding America with,https://t.co/gUYSqKqahB,"Warsaw, IN",
29-04-2020 21:38,WIPA Atlanta is raising funds for frontline workers at Atlanta s The chapter is collecting,https://t.co/bcevkPBYlm,Unknown,
29-04-2020 21:07,From our SHEFFIELD centre Donations we are in need of this week and our donation points Please note if you are,Not Available,"Sheffield, England",
29-04-2020 19:01,We hope you all have your dancing shoes on for our #TwoPointSixChallenge! Remember all you need to do is,https://t.co/oSvFy1dbc0,"Harborne, Birmingham, UK",
29-04-2020 19:09,Here at round table we are going for charter and this requires funding But we would like to give something back for,Not Available,South Wales & South West,
29-04-2020 21:47,Help us continue supporting survivors of sexual assault in the workplace by donating to #NTxgivingTuesdayNow,https://t.co/9OkhsfiXbQ,"Texas, USA",
29-04-2020 21:56,NCChamber We could never do this important work alone See how a donation empowers our #COVID19,https://t.co/zmxXAfEWhL,facebook.com/FoodBankCENC,
29-04-2020 21:17,Starrubyx Please donate money for the lawyer am the treasure when u ready with your donation,https://t.co/zfxUXwmxyD,"Moremela(Hlabekisa)Graskop, South Africa",
29-04-2020 18:11,CHALLENGE RETURNS Each time you make a donation to Animal Justice Project it will be MATCHED by a,https://t.co/rNeXbL0qVg,Worldwide,
29-04-2020 18:38,NEW DONATION Shout out to for their generous contribution to the #WorkerSolidarityFund! This will go,Not Available,Unknown,
29-04-2020 18:46,Afrikan Dream Also donation loan,Not Available,"Durban, South Africa",
29-04-2020 18:23,Amen another donation,Not Available,Unknown,
29-04-2020 18:15,JeffreeStar I would accept that donation,Not Available,Unknown,
29-04-2020 18:21,Donation or helping someone is good enough before taking selfies or taking pictures of them To whom you donating something,Not Available,Unknown,
29-04-2020 18:27,Help and donate for a worthy cause This Eid many orphans will be missing out on celebrating it properly This,Not Available,Unknown,
29-04-2020 18:35,Our charity partner support has set up an emergency appeal to develop and adapt new services to reach,Not Available,Northamptonshire,
29-04-2020 18:59,So grateful for the GENEROUS donation of toiletries and food by The Hut Group to the Refuge We support the,Not Available,"Stockport, England",
29-04-2020 20:26,MissBNasty FYI some times your local fire department for a small fee donation They will fill up pools with there hoes Much quicker,Not Available,"Tacoma, WA",
29-04-2020 18:10,HELP US HELP HELP THE COMMUNITY WAY TO DONATE Click the donate button on Facebook Bring a,https://t.co/Jp29IY0Slz,"Cedar Rapids, IA",
29-04-2020 18:56,Rainbow Cards and Letters are seeking small donations to allow us to support #LGBTQIA people around the world Please,Not Available,Unknown,
22-04-2020 20:21,Praying for Venice and for all of Italy Help us rais money for Italy at,https://t.co/37nqVNV8tF,Unknown,
29-04-2020 18:50,It only takes a few minutes to make a donation Which is going towards Orphans and helping building towards a,https://t.co/0t2eobFuKH,"London, England",
29-04-2020 18:31,Help and in their research on covid and make a donation today We consider this a heroic act,Not Available,Oirschot - Nijmegen,
29-04-2020 19:02,The lovely Georgian Theatre Stockton georgian stcktn are running a crowd funding campaign with some great rewards on,Not Available,boro,
29-04-2020 18:42,Guide your charity through the epidemic with help from Online donation resources and the latest grants available now,https,Unknown,
29-04-2020 19:02,Is tonight a good night to host an iRacing race to decide where to send a COVID relief donation I don t want,https://t.co/nLXv7il7RK,"Redwood City, CA",
29-04-2020 20:26,like to express our gratitude to SHEPCO for their donation of k In this picture receiving this donation from the,Not Available,Unknown,
29-04-2020 18:43,"Please go to for information on who is eligible to donate #ConvalescentPlasma, where is your",https://t.co/bVguR9Wq7f,Unknown,
29-04-2020 20:54,Looking forward to As promised for any IG lives I do this Live is with a donation to,Not Available,"Pasco, WA",
29-04-2020 18:51,Please suppt the work of NPE Action Your donation will allow us to continue endorsing candidates who suppt,https://t.co/o8hZdVpO03,Unknown,
29-04-2020 18:40,PRSundar Sir please share the screen shot or recorded video of donation this will like tight slap to those,https://t.co/VQ0XSY4jx8,"New Delhi, India",
29-04-2020 23:46,Port makes donation as Foodbank demand soars,https://t.co/ChYzVPhZa8,New Zealand,
29-04-2020 18:46,Friends is streamlining a website that will allow for donations to go directly to students and their,Not Available,Unknown,
29-04-2020 18:31,We re so glad we could help and with their safe streets initiative,Not Available,"2919 Hansboro Ave, Dallas, TX 75233",
29-04-2020 21:32,Your generosity can have a memorable impact on a child in our #Community On #GivingTuesdayNow please consider,Not Available,"Houston, TX",
29-04-2020 18:23,CyrilRamaphosa chief my firm donated to the #SolidarityFund Can we get our donation back please,Not Available,Unknown,
29-04-2020 18:39,for Please cnsdr a donation #MS #VirtualWalkMS,https://t.co/A4fcFgrqCm,"Manhattan, NY",
29-04-2020 21:50,PH Fans of Wooseok NIAs who wants to donate here but doesn t have a PayPal account Here s the PH donation drive,Not Available,Unknown,
29-04-2020 18:40,been delighted to be able to support the NHS Nightingale Hospital NW in a small way with a donation of hand pallet,Not Available,"North West, England",
29-04-2020 18:13,The donation will be made to the in support of the hospital s COVID response effort Please,https://t.co/f5rtOATqoq,"Peterborough, ON",
29-04-2020 18:12,This week s donation is to ARC ANIMAL RESCUE CENTRE Check out their page and please donate if you,https://t.co/2tjTx3dJtV,Devon,
29-04-2020 19:16,We know it s a tough time but if you can please take a moment to support Hospiscare While our shops are closed and,Not Available,"Devon, UK",
29-04-2020 18:51,Every donation matters so donate as much as you can,Not Available,Unknown,
29-04-2020 18:27,Coming up on May it s time to If you can please make a donation to a charity of your choice,https://t.co/0U6twljrBQ,"Seattle, WA",
29-04-2020 23:18,Two beautiful posters released today in honour of the tragedy in Nova Scotia You can buy one by donation of,Not Available,toronto,
29-04-2020 22:00,Join us for Midlands Gives Tuesday May where your donation will make a difference in the lives of SC,https://t.co/s8RX5BgGiV,"Columbia, SC",
29-04-2020 22:03,I would like to thank you for your continued support of as Chief Justice If you would like to,https://t.co/dHMSrFvk93,"Raleigh, NC",
29-04-2020 19:00,COVID Fund set up at the jubilee house complex You might just meet the president if your donation is big enough,Not Available,Earth,
29-04-2020 21:05,kspotashcanada continues to match all donations this week up to K Make your donation today,https://t.co/pW8iSrC23n,Unknown,
29-04-2020 21:06,All you have to do is follow the instructions under the section on the donation form in honour of mom We will,https://t.co/dYPaWRvAuS,"Niagara Region, Canada",
29-04-2020 18:30,suky if you do it make a donation to a charity you support,Not Available,tina@nutbrown59,
29-04-2020 21:32,This week sees the launch of our Covid Emergency Fund Appeal to help support countries being disproportionately,Not Available,Sussex,
29-04-2020 21:30,This Giving Day will help #SJCNY students immediately Make your donation now and your gift will be doubled,Not Available,Long Island,
22-04-2020 19:36,Thank you #LGBTQI #LGBTQ people are much more likely to be social care users than others amp also to,https://t.co/gQVqqI5jPC,United Kingdom,
29-04-2020 21:37,We have a new donation system featuring a really cool new Round up option visit our website Link in bio,https://t.co/FABFyKuu11,"Lowell, Arkansas",
29-04-2020 21:40,Many of our great Reside Rewards partners have started relief funds for their employees Check out our link for a,https://t.co/YsklpVbiN2,Chicago,
29-04-2020 18:36,My Ramadan Challenge Day Floors Steps Donation link,https://t.co/rUXaU8OBn8,Unknown,
29-04-2020 18:21,It is time to help If you have donation money available please consider Scouts BSA amp Three Fires Council as we,https://t.co/TfzcJPvLRW,"Itasca, IL",
29-04-2020 21:30,A donation will help feed up to Louisville seniors per week,https://t.co/8uGsCxQg1q,"Louisville, KY, US, 40203",
29-04-2020 21:50,another day another chance donate to the less fortunate in syria palestine yemen amp countries,Not Available,Ole trafford,
29-04-2020 21:48,JUST NEED A DONATION OF AND WE WILL REACH TODAYS TARGET OF,Not Available,T H E B A Y,
29-04-2020 21:34,Our doors lead to great futures Please help us keep them open for kids families and our community Your donation will,Not Available,Unknown,
29-04-2020 18:25,Our team has a great way for you to mask up during these times The Aaron Kirman Foundation has partnered up,https://t.co/dAQBXwYnKU,"90,21,09,00,46,90,04,80,00,00,00,000",
22-04-2020 23:39,Love my state Tune in and visit to donate to fight against #COVID19! #NewJersey,https://t.co/AoSKFSgLEx,Way up north Wisconsin,
29-04-2020 19:10,I don t like asking but please consider a little donation Times are tough for us all and you can have,https://t.co/FfRp0IDjTj,Arizona,
29-04-2020 22:02,HeroGifter Like music Wanna help a fella who lost a few gigs recently Make a donation to my PayPal,https://t.co/M2jQI1eIm9,Los Angeles,
29-04-2020 18:40,given everything that s been going on with covid i thought i d give charity comms a shot if anyone is interested,Not Available,Gacha hell,
29-04-2020 18:24,Streaming Online Ladies Rocking the Lens Film Series All viewing is donation based minimum donation is and,Not Available,contact: kim@thelightleaks.com,
29-04-2020 20:28,We are accepting cash donations to help out our doctors nurses and other #HealthCareHeroes on the front lines,Not Available,Unknown,
